repo,number,is_merged,ast_function_definition,ast_class_definition,ast_if_statement,ast_for_statement,ast_while_statement,ast_try_statement,ast_import_statement,ast_import_from_statement,ast_call,ast_assignment,ast_augmented_assignment,ast_binary_operator,ast_comparison_operator,ast_boolean_operator,ast_return_statement,ast_expression_statement,ast_decorated_definition,ast_with_statement,ast_raise_statement,ast_assert_statement,ast_total_nodes,ast_max_depth,ast_avg_branching,ast_error_nodes,cfg_nodes,cfg_edges,cfg_complexity,cfg_max_nesting,additions,deletions,changed_files,num_commits,files_per_commit,churn_ratio,num_reviews,num_reviewers,num_review_comments,num_issue_comments,review_density,title_len,body_len,avg_commit_msg_len,has_keyword_fix,has_keyword_bug,has_keyword_test,has_keyword_refactor,has_keyword_add,has_keyword_remove,tfidf_added,tfidf_ai,tfidf_airflow,tfidf_assistant,tfidf_breaking,tfidf_change,tfidf_changes,tfidf_checklist,tfidf_code,tfidf_com,tfidf_commit,tfidf_contributing,tfidf_dev,tfidf_developers,tfidf_django,tfidf_docs,tfidf_documentation,tfidf_existing,tfidf_feature,tfidf_file,tfidf_fix,tfidf_fixes,tfidf_github,tfidf_guidelines,tfidf_help,tfidf_home,tfidf_href,tfidf_https,tfidf_io,tfidf_issue,tfidf_link,tfidf_main,tfidf_new,tfidf_number,tfidf_perfect,tfidf_pr,tfidf_prs,tfidf_pull,tfidf_py,tfidf_python3,tfidf_request,tfidf_requests,tfidf_review,tfidf_reviewed,tfidf_tests,tfidf_ticket,tfidf_tools,tfidf_updated,tfidf_used,tfidf_works
apache/airflow,65815,True,7,0,3,0,0,0,2,4,22,12,0,6,6,2,5,15,3,0,1,3,1059,12,3.512396694214876,2,41,43,8,2,171.0,28.0,4.0,1.0,2.0,0.855,1.0,1.0,0.0,1.0,0.0,46.0,1011.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20529978969485402,0.18456440887941894,0.0,0.0,0.0,0.0,0.0,0.0,0.17443922177007598,0.2572447833458096,0.10016418116538812,0.3576136306857867,0.0,0.0,0.0937523122117119,0.0,0.0,0.0,0.0,0.0,0.0,0.41291609960278547,0.12438622856029505,0.0,0.0,0.0,0.1714213078649184,0.0,0.3594300329750004,0.0,0.3603449395231789,0.23252593290200155,0.0,0.0,0.16443183891370816,0.0,0.0,0.2846109828732533,0.0,0.0,0.0,0.0,0.0,0.17089628756249625,0.0,0.0,0.0,0.12150624178895261,0.0
apache/airflow,65976,False,9,1,2,1,0,0,1,1,38,16,0,3,8,0,3,45,0,2,0,8,1185,15,3.241830065359477,0,74,77,7,2,101.0,6.0,2.0,1.0,1.0,0.9351851851851852,0.0,0.0,0.0,1.0,0.0,71.0,1041.0,577.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.23461595658486364,0.42183925668044814,0.0,0.18306284073254483,0.0,0.0,0.0,0.10668487032022567,0.19934859622767256,0.0,0.11446731248281528,0.0,0.0,0.0,0.21427969745401956,0.0,0.0,0.0,0.0,0.11587338926413422,0.0,0.5898490315162426,0.1421481923728858,0.0,0.0,0.0,0.19589973367013314,0.0,0.0,0.0,0.137267022715748,0.0,0.0,0.0,0.1879121904464125,0.0,0.0,0.3252525397157789,0.0,0.0,0.0,0.12109658731875796,0.0,0.09764987105654595,0.0,0.0,0.0,0.1388569525118291,0.0
apache/airflow,66250,True,7,1,3,0,0,0,2,4,34,18,0,2,12,0,3,33,5,2,0,12,998,15,2.9160583941605838,1,67,70,7,2,122.0,3.0,2.0,5.0,0.3333333333333333,0.9682539682539683,6.0,4.0,4.0,2.0,0.031746031746031744,65.0,1079.0,53.0,0.0,0.0,1.0,0.0,1.0,0.0,0.13060660447148895,0.2618001713386952,0.2353582238904165,0.0,0.0,0.0,0.12758917917682344,0.0,0.0,0.1112232462962412,0.0,0.1277302808252999,0.0,0.0,0.0,0.5977690341745208,0.0,0.0,0.0,0.0,0.0,0.0,0.526554390460852,0.15861845741615777,0.0,0.0,0.0,0.10929901057581005,0.0,0.0,0.0,0.15317172194610165,0.0,0.0,0.0,0.20968498635644026,0.0,0.0,0.0,0.0,0.0,0.0,0.13512766893633968,0.0,0.10896425522770493,0.0,0.0,0.14415524882655584,0.1549458719190596,0.0
apache/airflow,66481,True,2,0,1,0,0,2,0,0,14,6,0,7,4,0,0,13,0,0,0,4,360,12,2.8492063492063493,0,24,27,5,1,31.0,4.0,2.0,2.0,0.6666666666666666,0.8611111111111112,1.0,1.0,0.0,2.0,0.0,61.0,878.0,86.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24656155340485936,0.8866348557725736,0.0,0.0,0.0,0.0,0.0,0.0,0.10474926827322212,0.0,0.12029547687492292,0.0,0.0,0.0,0.11259493138582823,0.0,0.0,0.0,0.0,0.12177314480704032,0.0,0.12397630204013103,0.1493857435586402,0.0,0.0,0.0,0.1029370366542717,0.0,0.0,0.0,0.14425604653966856,0.0,0.0,0.0,0.09873992002632263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14592692846105498,0.0
apache/airflow,66612,True,171,27,73,24,1,8,16,66,719,489,0,31,165,21,73,717,55,21,7,130,22864,20,16.0,8,1287,1422,183,4,3555.0,209.0,38.0,14.0,2.533333333333333,0.9442231075697212,4.0,2.0,4.0,3.0,0.0010624169986719787,72.0,3627.0,41.857142857142854,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.14855264583789377,0.6677437738074745,0.0,0.0,0.0,0.07239762315694398,0.0,0.0,0.12622228191448284,0.0,0.07247768812827722,0.0,0.0,0.0,0.13567626204752195,0.09345206531572324,0.0,0.0,0.0,0.0,0.0,0.29878149995296643,0.0900044923859558,0.0,0.0,0.0,0.12403855295797256,0.0,0.08669319221969646,0.0,0.08691386428927227,0.25237977065046197,0.0,0.0,0.1189810509154845,0.0,0.0,0.5148533591192107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08792056597036155,0.0
apache/airflow,66658,True,8,0,7,0,4,0,0,4,61,16,0,6,12,3,7,24,3,0,0,0,1851,14,3.5031645569620253,21,55,67,16,2,131.0,19.0,2.0,1.0,1.0,0.8675496688741722,7.0,2.0,10.0,2.0,0.06622516556291391,51.0,1997.0,290.0,1.0,0.0,1.0,0.0,1.0,0.0,0.15471469990114176,0.0,0.0,0.0,0.24197974711271797,0.0,0.15114030141779247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3748072666258252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17562618285213466,0.0,0.0,0.12419490526221248,0.0,0.0,0.0,0.0,0.0,0.24023168296301375,0.0,0.0,0.38723245541199064,0.0,0.0,0.6830569143612846,0.1835466450711622,0.0
apache/airflow,66666,True,0,0,2,0,0,1,11,7,0,0,0,0,2,0,0,0,0,0,0,0,157,7,2.5217391304347827,0,27,28,5,1,7.0,6.0,2.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,0.0,45.0,880.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2871198183285013,0.2581205739476424,0.0,0.0,0.0,0.13992879285987533,0.0,0.0,0.12198005107173468,0.0,0.14008354096209868,0.3334244710362783,0.0,0.0,0.1311162904263724,0.0,0.0,0.0,0.0,0.0,0.0,0.5774793811483228,0.17395902548113787,0.0,0.0,0.0,0.11986971551448004,0.0,0.0,0.0,0.1679855164087442,0.0,0.0,0.0,0.22996438421343726,0.0,0.0,0.3980396366617076,0.0,0.0,0.0,0.14819635738878995,0.0,0.0,0.0,0.0,0.0,0.1699312508798809,0.0
apache/airflow,66965,True,3,0,0,0,0,0,0,0,10,13,0,0,4,0,0,21,1,0,0,2,586,12,3.2857142857142856,31,27,25,2,0,31.0,0.0,2.0,2.0,0.6666666666666666,0.96875,4.0,3.0,4.0,2.0,0.125,71.0,606.0,70.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4847475305000615,0.4357877889474745,0.0,0.0,0.0,0.0,0.0,0.0,0.20594025473937547,0.0,0.2365045747813531,0.0,0.0,0.0,0.22136506759625407,0.0,0.0,0.0,0.0,0.0,0.0,0.24374118926725916,0.29369692590742386,0.0,0.0,0.0,0.20237735213007096,0.0,0.0,0.0,0.2836117851877068,0.0,0.0,0.0,0.19412569288910936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20175752125873928,0.0,0.0,0.0,0.2868967899825107,0.0
apache/airflow,66966,True,2,0,0,0,0,0,0,0,4,5,0,0,1,0,0,9,1,0,0,1,231,10,3.3684210526315788,13,14,12,2,0,15.0,0.0,2.0,2.0,0.6666666666666666,0.9375,3.0,2.0,0.0,0.0,0.0,52.0,686.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4847475305000615,0.4357877889474745,0.0,0.0,0.0,0.0,0.0,0.0,0.20594025473937547,0.0,0.2365045747813531,0.0,0.0,0.0,0.22136506759625407,0.0,0.0,0.0,0.0,0.0,0.0,0.24374118926725916,0.29369692590742386,0.0,0.0,0.0,0.20237735213007096,0.0,0.0,0.0,0.2836117851877068,0.0,0.0,0.0,0.19412569288910936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20175752125873928,0.0,0.0,0.0,0.2868967899825107,0.0
apache/airflow,67209,True,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0,0,2,143,15,3.227272727272727,1,5,4,1,0,17.0,1.0,2.0,1.0,1.0,0.8947368421052632,2.0,2.0,0.0,0.0,0.0,96.0,259.0,357.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4107554418313333,0.605739314643857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4775115160512632,0.0,0.4861508014383613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
