panel,group,prompt,metric,estimate,ci_low,ci_high
classification,ai,P1,balanced_accuracy,0.5769230769230769,0.5,0.6875
classification,ai,P5,balanced_accuracy,0.6049896049896051,0.43931049036747566,0.7523809523809524
classification,control,P1,balanced_accuracy,0.5882352941176471,0.5,0.6875
classification,control,P5,balanced_accuracy,0.47771836007130125,0.33271538141118523,0.6324278438030561
generation,ai,P3,judge_relevance,1.5633802816901408,1.352112676056338,1.8028169014084507
generation,ai,P5,judge_relevance,1.8873239436619718,1.5774647887323943,2.1971830985915495
generation,control,P3,judge_relevance,1.5510204081632653,1.3061224489795917,1.8571428571428572
generation,control,P5,judge_relevance,1.7755102040816326,1.489795918367347,2.122448979591837
