task,prompt,avg_latency_s,quality
classification,P1,3.490749291239995,0.5769230769230769
classification,P5,15.89152765637999,0.6049896049896051
classification,P6,42.82607797067992,0.5934065934065934
generation,P3,15.74973998180561,3.454225352112676
generation,P5,22.25927430819431,3.464788732394366
generation,P6,44.416738138304936,3.4618055555555554
